ID,Collection,Ceph,leg,Weight,Rest_slope,Act_Slope,Volume,Resting,Active,Scope,Vol_speed_mean,Vol_speed_max,Forced_speed_mean,Forced_speed_max,per_vol,per_mx,trial,Found_female,Time_find,Order,Num_rivals,Distance,Est_paternity,Died,comment
MV01,First,12,32,0.0201,-0.002487,-0.03134,0.009621,2.39E-05,0.000301522,0.000277595,17.21589649,43.43839849,39.91303603,83.60319392,43.13351777,51.95782177,1,Y,1,1,1,3,100,No,
MV02,First,12.5,32,0.0225,-0.002067,-0.004333,0.009621,1.99E-05,4.17E-05,2.18E-05,,,,,,,,,,,,,,Yes,
MV03,First,10,25,0.0093,-0.001155,-0.01097,0.009621,1.11E-05,0.000105542,9.44E-05,12.43925383,27.7479259,20.62022207,59.63174698,60.32550856,46.5321365,1,N,,0,,,0,No,
MV04,First,10,23,0.0091,-0.002522,-0.01407,0.009621,2.43E-05,0.000135367,0.000111103,8.835461114,18.63672133,22.36722257,46.3687897,39.50182498,40.19238253,1,Y,43,3,3,38,23,No,
MV05,First,12.5,36,0.0213,-0.004189,-0.01366,0.009621,4.03E-05,0.000131423,9.11E-05,10.37192164,27.48065798,39.64756109,66.07623092,26.1603018,41.58932433,1,N,,0,,,0,No,
MV06,First,11,29,0.0122,-0.002632,-0.01616,0.009621,2.53E-05,0.000155475,0.000130153,,,,,,,,,,,,,,Yes,Died before trial
MV07,First,11.5,29,0.0149,-0.002578,-0.01013,0.009621,2.48E-05,9.75E-05,7.27E-05,6.252841845,17.79396701,30.10447417,74.46204033,20.77047355,23.89669546,1,Y,5,1,3,11,43,No,
MV08,First,11,34,0.0212,-0.003259,-0.01712,0.009621,3.14E-05,0.000164712,0.000133357,10.13417377,23.19001139,25.41573183,61.364592,39.87362565,37.79054115,1,Y,23,2,3,18,32,No,
MV09,First,10,25,0.0119,-0.001456,-0.01189,0.009621,1.40E-05,0.000114394,0.000100386,10.61651326,25.78665873,28.3201023,52.30209377,,,1,Y,23,3,3,100,23,No,
MV10,First,11.5,28,0.015,-0.002727,-0.01296,0.009621,2.62E-05,0.000124688,9.85E-05,12.76296367,30.27317904,20.96776611,68.21725291,60.86944888,44.37759914,1,Y,27,2,3,23,32,No,
MV11,First,11,25,0.0105,-0.001612,-0.009855,0.009621,1.55E-05,9.48E-05,7.93E-05,10.90665319,35.3859591,17.3334793,56.07772491,62.92246928,63.1016311,1,N,,0,,,0,No,
MV12,First,11,28,0.0133,-0.002089,-0.03303,0.009621,2.01E-05,0.000317782,0.000297683,7.255676047,23.17338916,21.28327306,36.06980772,34.09097853,64.24594592,1,Y,27,1,3,12,43,No,
MV13,First,12,30,0.0169,-0.003332,-0.0204,0.009621,3.21E-05,0.000196268,0.000164211,12.3097405,34.37749658,38.19691721,80.83497999,32.22705233,42.52799541,2,N,,0,,,0,No,
MV14,First,9.5,21,0.0116,-0.001627,-0.01377,0.009621,1.57E-05,0.000132481,0.000116828,,,,,,,,,,,,,,Yes,Died before trial
MV15,First,12,36,0.0184,-0.003685,-0.01175,0.009621,3.55E-05,0.000113047,7.76E-05,7.83773553,24.40473774,18.49716822,37.63311874,42.37262395,64.84909717,2,N,,0,,,0,No,
MV16,First,11,25,0.0123,-0.006571,-0.01121,0.009621,6.32E-05,0.000107851,4.46E-05,15.58677885,36.15846655,26.01135367,55.9490064,59.92298229,64.62754011,2,Y,15,3,3,45,23,No,
MV17,First,11.5,32,0.0175,-0.006591,-0.02021,0.009621,6.34E-05,0.00019444,0.000131028,8.83636199,40.49573838,24.97644072,53.53963296,35.37878791,75.63693687,2,Y,48,2,3,11,32,No,
MV18,First,11,30,0.0143,-0.003267,-0.0098,0.009621,3.14E-05,9.43E-05,6.29E-05,19.60503005,57.45236445,36.19693699,61.53444407,54.16212444,93.36618754,2,Y,35,1,3,7,43,No,
MV19,First,11,31,0.0136,-0.003742,-0.02443,0.009621,3.60E-05,0.000235041,0.000199039,,,,,,,,,,,,,,Yes,Died before trial
MV20,First,12,32,0.0197,-0.001045,-0.02774,0.009621,1.01E-05,0.000266887,0.000256833,20.07570549,53.7441249,30.70818962,51.69509485,65.37573767,103.9636837,2,Y,41,1,3,2,43,No,
MV21,First,13,34,0.0226,-0.001852,-0.01959,0.009621,1.78E-05,0.000188475,0.000170657,,,,,,,,,,,,,,Yes,Died before trial
MV22,First,11,26,0.0107,-0.003651,-0.009541,0.009621,3.51E-05,9.18E-05,5.67E-05,,,,,,,,,,,,,,Yes,Died before trial
MV23,First,11,29,0.0131,-0.002948,-0.009197,0.009621,2.84E-05,8.85E-05,6.01E-05,,,,,,,,,,,,,,Yes,Died before trial
MV24,First,11,28,0.0116,-0.0003346,-0.007262,0.009621,3.22E-06,6.99E-05,6.66E-05,,,,,,,,,,,,,,Yes,Died before trial
MV25,First,11,29,0.0123,-0.001272,-0.006277,0.009621,1.22E-05,6.04E-05,4.82E-05,18.8906941,44.03299085,35.88282548,81.91181886,52.64550336,53.75657807,2,Y,48,2,3,22,32,No,
MV26,First,10.5,26,0.0114,-0.0029,-0.01117,0.009621,2.79E-05,0.000107467,7.96E-05,8.483875544,20.29249952,16.29354949,34.32604591,52.0689218,59.1169154,2,N,,0,,,0,No,
MV27,First,9.5,24,0.0079,-0.001335,-0.01589,0.009621,1.28E-05,0.000152878,0.000140034,22.85393473,39.24172575,28.35344232,46.48286911,80.6037393,84.42190962,3,Y,8,2,3,28,32,No,
MV28,First,11,27,0.0146,-0.00402,-0.01705,0.009621,3.87E-05,0.000164038,0.000125362,10.39059915,25.52164484,35.7742778,73.4537568,29.04488865,34.74518657,3,Y,14,2,3,26,32,No,
MV29,First,13.5,39,0.0224,-0.003263,-0.01262,0.009621,3.14E-05,0.000121417,9.00E-05,,,,,,,,,,,,,,Yes,Died before trial
MV30,First,13,32,0.0223,-0.001156,-0.01559,0.009621,1.11E-05,0.000149991,0.00013887,9.631684898,24.43110817,23.63466816,61.44003903,40.75235935,39.76414819,3,N,,0,,,0,No,
MV31,First,11,29,0.0145,-0.000999,-0.001579,0.009621,9.61E-06,1.52E-05,5.58E-06,12.42170441,46.37298101,36.84373161,69.06974981,33.71456655,67.13934991,2,Y,18,3,3,30,23,No,
MV32,First,13,37,0.0159,-0.001779,-0.006895,0.009621,1.71E-05,6.63E-05,4.92E-05,30.08404295,81.71180565,82.70029897,120.2640428,36.37718766,67.94367107,3,Y,4,3,3,33,23,No,
MV33,First,11,28,0.0108,-0.001598,-0.00595,0.009621,1.54E-05,5.72E-05,4.19E-05,,,,,,,,,,,,,,Yes,Died before trial
MV34,First,11.5,31,0.0153,-0.002715,-0.00386,0.009621,2.61E-05,3.71E-05,1.10E-05,9.084467678,24.00908783,27.0847676,55.69953183,33.54087365,43.10464925,3,Y,17,1,3,21,43,No,
